CID100000085	A16AA01
CID100000119	L03AA03
CID100000119	N03AG03
CID100000137	L01XD04
CID100000143	V03AF03
CID100000143	V03AF04
CID100000143	V03AF06
CID100000158	G02AD02
CID100000159	B01AC09
CID100000160	G02AD01
CID100000175	G01AD02
CID100000175	S02AA10
CID100000187	S01EB09
CID100000191	C01EB10
CID100000191	J05AB03
CID100000191	S01AD06
CID100000206	A12AA07
CID100000206	A12BA01
CID100000206	A12CA01
CID100000206	B05CB01
CID100000206	B05CX01
CID100000206	B05XA01
CID100000206	B05XA03
CID100000206	B05XA07
CID100000206	G04BA03
CID100000206	V04CA02
CID100000206	V04CE01
CID100000206	V06DC01
CID100000214	C01EA01
CID100000214	G04BE01
CID100000232	B05XB01
CID100000247	A09AB02
CID100000247	A16AA06
CID100000271	A07XA03
CID100000271	A12AA20
CID100000298	D06AX02
CID100000298	D10AF03
CID100000298	G01AA05
CID100000298	J01BA01
CID100000298	S01AA01
CID100000298	S02AA01
CID100000298	S03AA08
CID100000303	A05AA03
CID100000311	A09AB04
CID100000312	A09AB03
CID100000312	B05XA13
CID100000338	D01AE12
CID100000338	N02BA04
CID100000338	N02BA12
CID100000338	S01BC08
CID100000401	J04AB01
CID100000444	N06AX12
CID100000450	G03CA03
CID100000450	L02AA02
CID100000453	A06AD16
CID100000453	A06AD18
CID100000453	A06AG07
CID100000453	B05BC01
CID100000453	B05CX02
CID100000453	B05CX04
CID100000453	V04CC01
CID100000564	B02AA01
CID100000581	R05CB01
CID100000581	S01XA08
CID100000581	V03AB23
CID100000596	L01BC01
CID100000598	R05CB05
CID100000598	V03AF01
CID100000612	G01AD01
CID100000679	G04BX13
CID100000679	M02AX03
CID100000681	C01CA04
CID100000698	G03CA07
CID100000698	G03CC04
CID100000727	P03AB02
CID100000738	A16AA03
CID100000750	B05CX03
CID100000753	A06AG04
CID100000753	A06AX01
CID100000772	B01AB05
CID100000774	L03AX14
CID100000774	V04CG03
CID100000785	D11AX11
CID100000815	A07AA08
CID100000815	J01GB04
CID100000815	S01AA24
CID100000838	A01AD01
CID100000838	B02BC09
CID100000838	C01CA24
CID100000838	R01AA14
CID100000838	R03AA01
CID100000838	S01EA01
CID100000853	C10AX01
CID100000853	H03AA01
CID100000861	H03AA02
CID100000888	A12CC30
CID100000896	N05CH01
CID100000937	C04AC01
CID100000937	C10AD02
CID100000942	N07BA01
CID100000948	N01AX13
CID100000951	C01CA03
CID100001046	J04AK01
CID100001054	A11HA02
CID100001065	C01BA01
CID100001065	P01BC01
CID100001071	A11CA01
CID100001071	D10AD02
CID100001071	R01AX02
CID100001071	S01XA02
CID100001084	V03AB06
CID100001125	A16AX07
CID100001130	A11DA01
CID100001134	J05AF11
CID100001206	N06BA03
CID100001301	G02CC02
CID100001301	M01AE02
CID100001301	M02AA12
CID100001546	L01BB04
CID100001690	L01DB01
CID100001690	L01DB03
CID100001775	N03AB02
CID100001798	S01EC05
CID100001805	L01BC07
CID100001971	J05AF06
CID100001972	A01AB04
CID100001972	A07AA07
CID100001972	G01AA03
CID100001972	J02AA01
CID100001978	C07AB04
CID100001983	N02BE01
CID100001986	S01EC01
CID100001990	G04BX03
CID100002019	L01DA01
CID100002021	J01XX04
CID100002022	D06BB03
CID100002022	J05AB01
CID100002022	S01AD03
CID100002082	P02CA03
CID100002083	R03AC02
CID100002083	R03CC02
CID100002088	M05BA04
CID100002092	G04CA01
CID100002094	M04AA01
CID100002099	A03AE01
CID100002118	N05BA12
CID100002123	L01XX03
CID100002130	N04BB01
CID100002133	D07AC11
CID100002140	V08AA01
CID100002141	V03AF05
CID100002142	D06AX12
CID100002142	J01GB06
CID100002142	S01AA21
CID100002145	L02BG01
CID100002148	V04CH30
CID100002153	R03DA04
CID100002156	C01BD01
CID100002159	N05AL05
CID100002160	N06AA09
CID100002161	A01AD07
CID100002161	R03DX01
CID100002162	C08CA01
CID100002163	N05CA02
CID100002168	D01AE16
CID100002170	N06AA17
CID100002171	J01CA04
CID100002173	J01CA01
CID100002173	S01AA19
CID100002177	J05AE05
CID100002179	L01XX01
CID100002182	L01XX35
CID100002187	L02BG03
CID100002215	G04BE07
CID100002215	N04BC07
CID100002216	S01EA03
CID100002232	B01AE03
CID100002244	A01AD05
CID100002244	B01AC06
CID100002244	N02BA01
CID100002249	C07AB03
CID100002249	C07AB11
CID100002250	C10AA05
CID100002265	L04AX01
CID100002266	D10AX03
CID100002267	R01AC03
CID100002267	R06AX19
CID100002267	S01GX07
CID100002269	J01FA10
CID100002269	S01AA26
CID100002274	J01DF01
CID100002284	M03BX01
CID100002307	A07EA07
CID100002307	D07AC15
CID100002307	R01AD01
CID100002307	R03BA01
CID100002311	C09AA07
CID100002315	C03AA01
CID100002337	C05AD03
CID100002337	D04AB04
CID100002337	N01BA05
CID100002337	R02AD01
CID100002344	N04AC01
CID100002345	P03AX01
CID100002349	J01CE01
CID100002349	S01AA14
CID100002351	C08EA02
CID100002366	N07CA01
CID100002369	C07AB05
CID100002369	S01ED02
CID100002370	N07AB02
CID100002375	L02BB03
CID100002391	A06AB02
CID100002391	A06AG02
CID100002405	C07AB07
CID100002431	C01BD02
CID100002435	S01EA05
CID100002441	N05BA08
CID100002442	R05CB02
CID100002443	G02CB01
CID100002443	N04BC01
CID100002462	A07EA06
CID100002462	D07AC09
CID100002462	R01AD05
CID100002462	R03BA02
CID100002471	C03CA02
CID100002474	N01BB01
CID100002474	N01BB10
CID100002476	N02AE01
CID100002476	N07BC01
CID100002477	N05BE01
CID100002478	L01AB01
CID100002484	D01AE23
CID100002487	N02AF01
CID100002512	G02CB03
CID100002512	N04BC06
CID100002519	N06BC01
CID100002520	C08DA01
CID100002522	D05AX02
CID100002524	A11CC04
CID100002524	D05AX03
CID100002541	C09CA06
CID100002547	J04AB30
CID100002548	M02AB01
CID100002548	M02AB02
CID100002548	N01BX04
CID100002550	C09AA01
CID100002551	N07AB01
CID100002551	S01EB02
CID100002554	N03AF01
CID100002559	J01CA03
CID100002564	R06AA08
CID100002576	M03BA02
CID100002578	L01AD01
CID100002583	C07AA15
CID100002583	S01ED05
CID100002585	C07AG02
CID100002609	J01DC04
CID100002610	J01DB05
CID100002617	J01DB04
CID100002622	J01DE01
CID100002631	J01DD01
CID100002637	J01DC01
CID100002646	J01DC10
CID100002650	J01DD02
CID100002654	J01DD14
CID100002655	J01DD07
CID100002656	J01DD04
CID100002658	J01DC02
CID100002662	L01XX33
CID100002662	M01AH01
CID100002663	C07AB08
CID100002666	J01DB01
CID100002675	J01DD08
CID100002676	C10AA06
CID100002678	R06AE07
CID100002678	R06AE09
CID100002684	N07AX03
CID100002708	L01AA02
CID100002712	N05BA02
CID100002713	A01AB03
CID100002713	B05CA02
CID100002713	D08AC02
CID100002713	D09AA12
CID100002713	R02AA05
CID100002713	S01AX09
CID100002713	S02AA09
CID100002713	S03AA04
CID100002719	N06DX02
CID100002719	P01BA01
CID100002720	C03AA04
CID100002725	R06AB02
CID100002725	R06AB04
CID100002726	N05AA01
CID100002727	A10BB02
CID100002732	C03BA04
CID100002733	M03BB03
CID100002749	D01AE14
CID100002749	G01AX12
CID100002751	C09AA08
CID100002756	A02BA01
CID100002762	J01MB06
CID100002764	J01MA02
CID100002764	S01AX13
CID100002764	S02AA15
CID100002764	S03AA07
CID100002767	L01XA01
CID100002771	N06AB04
CID100002771	N06AB10
CID100002781	D04AA14
CID100002781	R06AA04
CID100002786	D10AF01
CID100002786	G01AA10
CID100002786	J01FF01
CID100002789	N05BA09
CID100002792	D07AB01
CID100002792	S01BA09
CID100002794	J04BA01
CID100002800	G03GB02
CID100002801	N06AA04
CID100002802	N03AE01
CID100002803	C02AC01
CID100002803	N02CX02
CID100002803	S01EA04
CID100002806	B01AC04
CID100002812	A01AB18
CID100002812	D01AC01
CID100002812	G01AF02
CID100002818	N05AH02
CID100002826	N01BC01
CID100002826	R02AD03
CID100002826	S01HA01
CID100002826	S02DA02
CID100002828	R05DA04
CID100002833	M04AC01
CID100002881	A07EB01
CID100002881	D11AH03
CID100002881	R01AC01
CID100002881	R03BC01
CID100002881	S01GX01
CID100002891	B03BA01
CID100002895	M03BX08
CID100002905	S01FA04
CID100002907	L01AA01
CID100002909	L04AD01
CID100002909	S01XA18
CID100002913	R06AX02
CID100002949	G03XA01
CID100002951	M03CA01
CID100002955	D10AX05
CID100002955	J04BA02
CID100002958	L01DB02
CID100002972	V03AC02
CID100002973	V03AC01
CID100002978	A04AD10
CID100002995	N06AA01
CID100003000	D07AC03
CID100003000	D07XC02
CID100003003	A01AC02
CID100003003	A07EA04
CID100003003	C05AA05
CID100003003	C05AA09
CID100003003	D07AB19
CID100003003	D07AC01
CID100003003	D07XB05
CID100003003	D07XC01
CID100003003	D10AA03
CID100003003	H02AB01
CID100003003	H02AB02
CID100003003	R01AD03
CID100003003	R01AD06
CID100003003	R03BA04
CID100003003	S01BA01
CID100003003	S01BA06
CID100003003	S01CB01
CID100003003	S01CB04
CID100003003	S02BA06
CID100003003	S02BA07
CID100003003	S03BA01
CID100003003	S03BA03
CID100003007	N06BA01
CID100003007	N06BA02
CID100003008	R05DA09
CID100003009	D11AX16
CID100003009	P01CX03
CID100003015	G03HA01
CID100003016	N05BA01
CID100003019	C02DA01
CID100003019	V03AH01
CID100003032	D11AX18
CID100003032	M01AB05
CID100003032	M02AA15
CID100003032	S01BC03
CID100003038	S01EC02
CID100003040	J01CF01
CID100003042	A03AA07
CID100003043	J05AF02
CID100003059	N02BA11
CID100003060	D07AC19
CID100003062	C01AA05
CID100003063	N02AA08
CID100003066	N02CA01
CID100003075	C08DB01
CID100003080	V03AB09
CID100003100	D04AA32
CID100003100	N04AB01
CID100003100	R06AA02
CID100003105	S01EA02
CID100003108	B01AC07
CID100003114	C01BA03
CID100003117	N07BB01
CID100003117	P03AA04
CID100003121	N03AG01
CID100003125	C02KB01
CID100003143	L01CD02
CID100003148	A04AA04
CID100003151	A03FA03
CID100003152	N06DA02
CID100003154	S01EC03
CID100003155	N06AA16
CID100003156	R07AB01
CID100003157	C02CA04
CID100003158	N06AA12
CID100003168	N01AX01
CID100003168	N05AD08
CID100003182	R03DA01
CID100003198	D01AC03
CID100003198	G01AF05
CID100003199	L01CX01
CID100003203	J05AG03
CID100003219	S01GX06
CID100003222	C09AA02
CID100003226	N01AB04
CID100003241	R06AX24
CID100003241	S01GX10
CID100003249	A11CC01
CID100003250	G02AB03
CID100003251	N02CA02
CID100003255	D10AF02
CID100003255	J01FA01
CID100003255	S01AA17
CID100003261	N05CD04
CID100003269	G03CA04
CID100003269	G03CC06
CID100003278	C03CC01
CID100003279	J04AK02
CID100003291	N03AD01
CID100003292	N03AB01
CID100003305	M05BA01
CID100003308	M01AB08
CID100003310	L01CB01
CID100003324	J05AB09
CID100003324	S01AD07
CID100003325	A02BA03
CID100003331	N03AX10
CID100003333	C08CA02
CID100003339	C10AB05
CID100003340	C01CA19
CID100003342	M01AE04
CID100003345	N01AH01
CID100003345	N02AB03
CID100003348	R06AX26
CID100003350	D11AX10
CID100003350	G04CB01
CID100003354	G04BD02
CID100003355	C01BC04
CID100003364	J01CF05
CID100003365	D01AC15
CID100003365	J02AC01
CID100003366	D01AE21
CID100003366	J02AX01
CID100003367	L01BB05
CID100003372	N05AB02
CID100003373	V03AB25
CID100003375	D07AB03
CID100003375	D07AC10
CID100003375	D07XB01
CID100003379	R01AD04
CID100003379	R03BA03
CID100003380	N05CD03
CID100003381	C05AA10
CID100003381	D07AC04
CID100003381	S01BA15
CID100003381	S02BA08
CID100003382	C05AA11
CID100003382	D07AC08
CID100003384	C05AA06
CID100003384	D07AB06
CID100003384	D07XB04
CID100003384	D10AA01
CID100003384	S01BA07
CID100003384	S01CB05
CID100003385	L01BC02
CID100003386	N06AB03
CID100003387	G03BA01
CID100003392	D07AC07
CID100003393	N05CD01
CID100003394	M01AE09
CID100003394	M02AA19
CID100003394	R02AX01
CID100003394	S01BC04
CID100003397	L02BB01
CID100003403	C10AA04
CID100003404	N06AB08
CID100003405	B03BB01
CID100003406	V03AB34
CID100003410	R03AC13
CID100003414	J05AD01
CID100003417	J01XX01
CID100003419	C09AA09
CID100003425	L01XX39
CID100003440	C03CA01
CID100003443	D06AX01
CID100003443	D09AA02
CID100003443	J01XC01
CID100003443	S01AA13
CID100003446	N03AX12
CID100003449	N06DA04
CID100003454	J05AB06
CID100003454	S01AD09
CID100003461	L01BC05
CID100003462	G02AD03
CID100003463	C10AB04
CID100003467	D06AX07
CID100003467	J01GB03
CID100003467	S01AA11
CID100003467	S02AA14
CID100003467	S03AA06
CID100003475	A10BB09
CID100003476	A10BB12
CID100003478	A10BB07
CID100003488	A10BB01
CID100003494	A03AB02
CID100003510	A04AA02
CID100003512	D01AA08
CID100003512	D01BA01
CID100003516	R05CA03
CID100003519	C02AC02
CID100003553	D07AD02
CID100003559	N05AD01
CID100003598	D08AE01
CID100003623	S01FA05
CID100003636	A03BB01
CID100003637	C02DB02
CID100003639	C03AA03
CID100003640	A01AC03
CID100003640	A07EA02
CID100003640	C05AA01
CID100003640	D07AA02
CID100003640	D07XA01
CID100003640	H02AB09
CID100003640	S01BA02
CID100003640	S01CB03
CID100003640	S02BA01
CID100003642	D07AB02
CID100003647	C03AA02
CID100003648	N02AA03
CID100003652	P01BA02
CID100003657	L01XX05
CID100003658	N05BB01
CID100003661	A03BA01
CID100003661	A03BA03
CID100003661	S01FA01
CID100003661	V03AB14
CID100003672	C01EB16
CID100003672	G02CC01
CID100003672	M01AE01
CID100003672	M01AE14
CID100003672	M02AA13
CID100003675	N06AF03
CID100003676	C01BB01
CID100003676	C05AD01
CID100003676	D04AB01
CID100003676	N01BB02
CID100003676	R02AD02
CID100003676	S01HA07
CID100003676	S02DA01
CID100003685	L01DB06
CID100003687	D06BB01
CID100003687	J05AB02
CID100003687	S01AD01
CID100003690	L01AA06
CID100003696	N06AA02
CID100003702	C03BA11
CID100003706	J05AE02
CID100003715	C01EB03
CID100003715	M01AB01
CID100003715	M02AA23
CID100003715	S01BC01
CID100003724	V08AB09
CID100003730	V08AB02
CID100003734	V08AB04
CID100003736	V08AB05
CID100003737	V08AA04
CID100003738	V08AB06
CID100003739	V08AC04
CID100003741	V08AB07
CID100003742	V08AB03
CID100003743	V08AB12
CID100003746	R01AX03
CID100003746	R03BB01
CID100003749	C09CA04
CID100003750	L01XX19
CID100003759	N06AF01
CID100003763	N01AB06
CID100003767	J04AC01
CID100003779	C01CA02
CID100003779	R03AB02
CID100003779	R03CB01
CID100003780	C01DA08
CID100003780	C05AE02
CID100003783	C04AA01
CID100003784	C08CA03
CID100003793	J02AC02
CID100003821	N01AX03
CID100003821	N01AX14
CID100003823	D01AC08
CID100003823	G01AF11
CID100003823	J02AB02
CID100003825	M01AE03
CID100003825	M01AE17
CID100003825	M02AA10
CID100003826	M01AB15
CID100003826	S01BC05
CID100003827	R06AX17
CID100003827	S01GX08
CID100003830	B06AA03
CID100003869	C07AG01
CID100003872	A06AD11
CID100003877	J05AF05
CID100003878	N03AX09
CID100003883	A02BC03
CID100003890	S01EE01
CID100003899	L04AA13
CID100003902	L02BG04
CID100003911	L02AE02
CID100003914	S01ED03
CID100003915	R01AC02
CID100003915	S01GX02
CID100003916	N05AA02
CID100003928	J01FF02
CID100003929	J01XX08
CID100003937	C09AA03
CID100003938	G02CB02
CID100003938	N02CA07
CID100003948	J01MA07
CID100003948	S01AX17
CID100003950	L01AD02
CID100003954	A07DA03
CID100003957	R06AX13
CID100003958	N05BA06
CID100003961	C09CA01
CID100003962	C10AA02
CID100003964	N05AH01
CID100003998	D06BA03
CID100004004	P03AX03
CID100004011	N06AA21
CID100004030	P02CA01
CID100004031	A03AA04
CID100004032	C02BB01
CID100004033	L01AA05
CID100004034	R06AE05
CID100004036	M01AG04
CID100004036	M02AA18
CID100004043	S01BA08
CID100004044	M01AG01
CID100004046	P01BC02
CID100004051	M01AC06
CID100004053	L01AA03
CID100004054	N06DX01
CID100004057	A03AB12
CID100004058	N02AB02
CID100004060	N03AB04
CID100004062	N01BB03
CID100004064	N05BC01
CID100004075	A07EC02
CID100004086	R03AB03
CID100004086	R03CB03
CID100004091	A10BA02
CID100004095	N07BC02
CID100004101	J01XX05
CID100004107	M03BA03
CID100004112	L01BA01
CID100004112	L04AX03
CID100004114	D05AD02
CID100004114	D05BA02
CID100004120	A03BB03
CID100004120	S01FA03
CID100004121	C03AA08
CID100004138	C02AB01
CID100004138	C02AB02
CID100004139	V03AB17
CID100004139	V04CG05
CID100004140	G02AB01
CID100004158	N06BA04
CID100004158	N06BA11
CID100004159	D07AA01
CID100004159	D10AA02
CID100004159	H02AB04
CID100004160	G03BA02
CID100004160	G03EK01
CID100004163	N02CA04
CID100004168	A03FA01
CID100004170	C03BA08
CID100004171	C07AB02
CID100004173	A01AB17
CID100004173	D06BX01
CID100004173	G01AF01
CID100004173	J01XD01
CID100004173	P01AB01
CID100004174	V04CD01
CID100004178	C01BB02
CID100004184	N06AX03
CID100004189	A01AB09
CID100004189	A07AC01
CID100004189	D01AC02
CID100004189	G01AF04
CID100004189	J02AB01
CID100004189	S02AA13
CID100004192	N05CD08
CID100004195	C01CA17
CID100004196	G03XB01
CID100004197	C01CE02
CID100004201	C02DC01
CID100004201	D11AX01
CID100004205	N06AX11
CID100004211	L01XX23
CID100004212	L01DB07
CID100004235	N06AG02
CID100004236	N06BA07
CID100004248	R03DC03
CID100004253	N02AA01
CID100004259	J01MA14
CID100004259	S01AX22
CID100004264	D06AX09
CID100004264	R01AX06
CID100004272	L04AA06
CID100004409	M01AX01
CID100004411	C07AA12
CID100004419	N02AF02
CID100004421	J01MB02
CID100004425	V03AB15
CID100004428	N07BB04
CID100004436	R01AA08
CID100004436	R01AB02
CID100004436	S01GA01
CID100004440	N02CC02
CID100004443	A10BX03
CID100004449	N06AX06
CID100004450	N02BG06
CID100004451	J05AE04
CID100004454	A01AB08
CID100004454	A07AA01
CID100004454	B05CA09
CID100004454	D06AX04
CID100004454	D09AA01
CID100004454	J01GB05
CID100004454	R01AX08
CID100004454	R02AB01
CID100004454	S01AA03
CID100004454	S01AA07
CID100004454	S02AA07
CID100004454	S03AA01
CID100004456	N07AA01
CID100004456	S01EB06
CID100004463	J05AG01
CID100004473	C08CA04
CID100004485	C08CA05
CID100004493	L02BB02
CID100004497	C08CA06
CID100004499	C08CA07
CID100004506	N05CD02
CID100004509	J01XE01
CID100004510	C01DA02
CID100004510	C05AE01
CID100004513	A02BA04
CID100004536	G03AC01
CID100004536	G03DC02
CID100004539	J01MA06
CID100004539	S01AX12
