CID100000085	A16AA01
CID100004542	G03AC03
CID100004543	N06AA10
CID100004547	A10BX02
CID100004568	A07AA02
CID100004568	D01AA01
CID100004568	G01AA01
CID100004583	J01MA01
CID100004583	J01MA12
CID100004583	S01AX11
CID100004583	S01AX19
CID100004583	S02AA16
CID100004585	N05AH03
CID100004594	A02BC01
CID100004594	A02BC05
CID100004595	A04AA01
CID100004599	A08AB01
CID100004601	M03BC01
CID100004601	N04AB02
CID100004603	J05AH02
CID100004607	J01CF04
CID100004609	L01XA03
CID100004614	M01AE12
CID100004616	N05BA04
CID100004623	D01AC11
CID100004623	G01AF17
CID100004631	C07AA02
CID100004634	G04BD04
CID100004635	N02AA05
CID100004638	A14AA05
CID100004649	J04AA01
CID100004649	J04AA02
CID100004666	L01CD01
CID100004673	M05BA03
CID100004675	M03AC01
CID100004678	A11HA30
CID100004678	D03AX03
CID100004678	S01XA12
CID100004679	A02BC02
CID100004680	A03AD01
CID100004680	G04BE02
CID100004689	A07AA06
CID100004691	N06AB05
CID100004724	C07AA23
CID100004725	D06BB06
CID100004725	J05AB13
CID100004727	M01CC01
CID100004730	J01CE02
CID100004736	N02AD01
CID100004737	N05CA01
CID100004739	L01XX08
CID100004740	C04AD03
CID100004745	N04BC02
CID100004746	C08EX02
CID100004747	N05AC01
CID100004748	N05AB03
CID100004756	G04BX06
CID100004763	N03AA02
CID100004768	C04AX02
CID100004771	A08AA01
CID100004775	A16AX03
CID100004782	C01CA06
CID100004782	R01AA04
CID100004782	R01AB01
CID100004782	R01BA03
CID100004782	S01FB01
CID100004782	S01GA05
CID100004786	A08AA07
CID100004786	R01BA01
CID100004810	C02AC05
CID100004811	S01EB05
CID100004811	V03AB19
CID100004812	B02BA01
CID100004819	N07AX01
CID100004819	S01EB01
CID100004828	C07AA03
CID100004829	A10BG03
CID100004834	J01CA12
CID100004845	R03AC08
CID100004845	R03CC07
CID100004865	D06BB04
CID100004868	A07AA05
CID100004868	J01XB02
CID100004868	S01AA18
CID100004868	S02AA11
CID100004868	S03AA03
CID100004870	C03AA05
CID100004885	N04BC05
CID100004889	C10AA03
CID100004891	P02BA01
CID100004893	C02CA01
CID100004894	A07EA01
CID100004894	C05AA04
CID100004894	D07AA03
CID100004894	D07XA02
CID100004894	H02AB06
CID100004894	R01AD02
CID100004894	S01BA04
CID100004894	S01CB02
CID100004894	S02BA03
CID100004894	S03BA02
CID100004900	A07EA03
CID100004900	H02AB07
CID100004906	N01BB04
CID100004908	P01BA03
CID100004909	N03AA03
CID100004911	M04AB01
CID100004913	C01BA02
CID100004914	C05AD05
CID100004914	N01BA02
CID100004914	S01HA05
CID100004915	L01XB01
CID100004917	N05AB04
CID100004920	G03DA04
CID100004923	P01BB01
CID100004927	D04AA10
CID100004927	R06AD02
CID100004932	C01BC03
CID100004934	A03AB05
CID100004935	S01HA04
CID100004943	N01AX10
CID100004946	C07AA05
CID100004976	N06AA11
CID100004989	P02CC01
CID100004991	N07AA02
CID100004992	D04AA02
CID100004992	R06AC01
CID100004993	P01BD01
CID100004999	N05CD10
CID100005002	N05AH04
CID100005005	C09AA06
CID100005029	A02BC04
CID100005029	M01AA05
CID100005029	M02AA03
CID100005032	R01AA03
CID100005032	R01AB05
CID100005032	R01BA02
CID100005032	R03CA02
CID100005032	S01FB02
CID100005035	G03XC01
CID100005038	C09AA05
CID100005039	A02BA02
CID100005040	L04AA10
CID100005051	C02AA01
CID100005052	C02AA02
CID100005064	J05AB04
CID100005070	N07XX02
CID100005071	J05AC02
CID100005073	N05AX08
CID100005076	J05AE03
CID100005077	N06DA03
CID100005078	N02CC04
CID100005090	M01AH02
CID100005095	N04BC04
CID100005106	J01FA06
CID100005152	R03AC12
CID100005155	J05AF04
CID100005161	N02BA06
CID100005184	A04AD01
CID100005184	N05CM05
CID100005184	S01FA02
CID100005193	N05CA06
CID100005195	N04BD01
CID100005203	N06AB06
CID100005206	N01AB08
CID100005210	A08AA10
CID100005212	G04BE03
CID100005214	D06BA01
CID100005215	J01EC02
CID100005238	V09FX04
CID100005245	M05BA07
CID100005253	C07AA07
CID100005257	J01MA09
CID100005267	C03DA01
CID100005291	L01XE01
CID100005297	A07AA04
CID100005297	J01GA01
CID100005300	L01AD04
CID100005311	L01XX38
CID100005314	M03AB01
CID100005318	D01AC09
CID100005320	S01AB04
CID100005329	J01EC01
CID100005333	D06BA05
CID100005333	J01EB06
CID100005352	M01AB02
CID100005358	N02CC01
CID100005359	M01AE07
CID100005372	D11AH01
CID100005372	L04AD02
CID100005376	L02BA01
CID100005379	J01MA16
CID100005379	S01AX21
CID100005381	D05AX05
CID100005391	N05CD07
CID100005394	L01AX03
CID100005396	L01CB02
CID100005401	G04CA03
CID100005402	D01AE15
CID100005402	D01BA02
CID100005403	R03AC03
CID100005403	R03CC03
CID100005404	G01AG02
CID100005408	G03BA03
CID100005411	C05AD02
CID100005411	D04AB06
CID100005411	N01BA03
CID100005411	S01HA03
CID100005419	R01AA06
CID100005419	R01AB03
CID100005419	S01GA02
CID100005426	L04AX02
CID100005430	D01AC06
CID100005430	P02CA02
CID100005452	N05AC02
CID100005453	L01AC01
CID100005454	N05AF04
CID100005466	N03AG06
CID100005468	M01AE11
CID100005470	G03CX01
CID100005472	B01AC05
CID100005478	C07AA06
CID100005478	S01ED01
CID100005479	J01XD02
CID100005479	P01AB02
CID100005483	R05CB12
CID100005486	B01AC17
CID100005487	M03BX02
CID100005496	J01GB01
CID100005496	S01AA12
CID100005503	A10BB05
CID100005505	A10BB03
CID100005505	V04CA01
CID100005508	M01AB03
CID100005508	M02AA21
CID100005512	G04BD07
CID100005514	N03AX11
CID100005515	L01XX17
CID100005516	L02BA02
CID100005523	N02AX02
CID100005524	R01AA09
CID100005525	C09AA10
CID100005526	B02AA02
CID100005530	N06AF04
CID100005533	A06AC07
CID100005533	N06AX05
CID100005538	D10AD01
CID100005538	D10AD04
CID100005538	D10BA01
CID100005538	D11AX19
CID100005538	L01XX14
CID100005538	L01XX22
CID100005544	A01AC01
CID100005544	D07AB09
CID100005544	D07XB02
CID100005544	H02AB08
CID100005544	R01AD11
CID100005544	R03BA06
CID100005544	S01BA05
CID100005546	C03DB02
CID100005556	N05CD05
CID100005564	D08AE04
CID100005564	D09AA06
CID100005566	N05AB06
CID100005572	N04AA01
CID100005576	N03AC02
CID100005578	J01EA01
CID100005582	P01AX07
CID100005584	N06AA06
CID100005591	A10BG01
CID100005593	S01FA06
CID100005595	A04AA03
CID100005596	G04BD09
CID100005625	J05AG02
CID100005636	S01EE02
CID100005645	A05AA01
CID100005645	A05AA02
CID100005647	J05AB11
CID100005650	C09CA03
CID100005651	A07AA09
CID100005651	J01XA01
CID100005656	N06AX16
CID100005665	N03AG04
CID100005672	L01CA04
CID100005717	R03DC01
CID100005718	J05AF03
CID100005719	N05CF03
CID100005721	J05AH01
CID100005726	J05AF01
CID100005726	S01AD05
CID100005727	B05XA12
CID100005731	N02CC03
CID100005732	N05CF02
CID100005734	N03AX15
CID100005735	N05CF01
CID100005735	N05CF04
CID100005746	L01DC03
CID100005771	H01BB02
CID100005775	C04AB01
CID100005775	G04BE05
CID100005878	A14AA08
CID100005978	L01CA02
CID100006018	N07XX06
CID100006049	V03AB03
CID100006058	A16AA04
CID100006238	G03DA03
CID100006256	S01AD02
CID100006476	N03AD03
CID100006503	B05BB03
CID100006503	B05XX02
CID100006726	R06AE03
CID100007029	A08AA03
CID100007187	D10AE01
CID100007638	D11AX13
CID100007699	R05DB01
CID100008230	H01BA06
CID100008612	N01BA04
CID100009034	N01AF01
CID100009034	N05CA15
CID100009433	R03DA05
CID100009904	A14AB01
CID100009904	S01XA11
CID100010100	N02AC04
CID100010340	B05CB04
CID100010340	B05XA02
CID100010413	N01AX11
CID100010413	N07XX04
CID100010547	S01EB03
CID100010631	G03AC06
CID100010631	G03DA02
CID100010631	L02AB02
CID100012453	N05AF02
CID100012453	N05AF05
CID100012536	D07AB08
CID100012536	S01BA11
CID100012555	A01AD02
CID100012555	G02CC03
CID100012555	M01AX07
CID100012555	M02AA05
CID100012620	D06BB11
CID100013314	N05CD06
CID100013342	L01CA01
CID100014888	L01XX27
CID100015232	J01CE08
CID100016230	C03DB01
CID100016362	N05AG02
CID100016850	S01JA01
CID100016886	L01BC08
CID100017358	V08DA05
CID100018140	L01XX11
CID100019090	G03AC05
CID100019090	G03DB02
CID100019090	L02AB01
CID100020585	R03DA02
CID100020969	D07AB21
CID100022258	R05DA03
CID100022318	M01CB01
CID100022502	J01CE09
CID100023897	N05AE02
CID100023954	D08AL30
CID100023954	S01AX02
CID100024087	D01AE13
CID100024424	A12CB01
CID100025419	M05BA02
CID100025959	V03AB31
CID100027400	N02CX01
CID100027661	C01DA14
CID100027991	H01BA02
CID100027993	G03CA57
CID100028486	N05AN01
CID100030623	V03AF02
CID100031072	H03BB01
CID100031264	N05CC05
CID100031378	H02AA02
CID100031477	S01ED04
CID100032169	N01BB08
CID100032281	H01AB01
CID100032281	V04CJ01
CID100032281	V04CJ02
CID100032797	D07AD01
CID100032800	V04CC03
CID100034312	N03AF02
CID100036339	N01AX07
CID100036523	H01CA01
CID100036523	V04CM01
CID100036811	C01CA07
CID100037392	P01BX01
CID100037720	C05BA04
CID100038904	L01XA02
CID100039042	C10AB02
CID100039507	H02AB12
CID100039507	S01BA13
CID100039524	N03AX17
CID100039764	M03AC03
CID100039860	A04AD11
CID100040159	P03AC04
CID100040703	A03AX04
CID100040973	G03AC09
CID100040976	G03AC08
CID100041317	D05BB02
CID100041684	P01AX11
CID100041693	N01AH03
CID100041744	L01DB09
CID100041774	A10BF01
CID100041781	C03CA04
CID100042113	N01AB07
CID100042615	L02AE01
CID100042955	A02BB01
CID100042955	G02AD06
CID100044564	S01GX05
CID100047319	M03AC04
CID100047320	M03AC11
CID100047471	G01AF15
CID100047528	C01DX16
CID100047640	D01AE22
CID100047725	L02AE03
CID100050294	R01AC07
CID100050294	R03BC03
CID100050294	S01GX04
CID100050614	J01DC05
CID100051263	N01AH02
CID100051577	A10BF02
CID100051634	A16AX06
CID100052421	D07AC18
CID100054313	B01AC11
CID100054373	H01CB02
CID100054454	C10AA01
CID100054547	J01DD13
CID100054688	J01FA09
CID100054786	B01AC21
CID100054808	S01BA14
CID100054840	N06BA09
CID100055466	V08CA01
CID100055480	N06AX17
CID100056338	N03AB05
CID100056959	C01EB18
CID100057469	D06BB10
CID100057537	N04BC09
CID100059708	N03AX14
CID100059768	C07AB09
CID100060146	G04CA02
CID100060164	D10AD03
CID100060184	C09AA04
CID100060198	L02BG06
CID100060612	N05CM18
CID100060613	J05AB12
CID100060695	M03AC09
CID100060706	J01DH02
CID100060714	V08CA04
CID100060726	S01BC11
CID100060751	L01XD05
CID100060752	C01BD05
CID100060754	V08CA03
CID100060787	J05AE01
CID100060795	N05AX12
CID100060814	N01AH06
CID100060830	R03BB04
CID100060834	N06AX21
CID100060843	L01BA04
CID100060852	M05BA06
CID100060853	N05AE04
CID100060864	R01AC08
CID100060864	S01GX09
CID100060867	C01CX08
CID100060871	J05AF08
CID100060877	J05AF09
CID100060878	C09CA02
CID100060936	M05BA05
CID100060953	L01BC06
CID100062816	C10AC02
CID100062819	G03GA04
CID100062924	D07AC17
CID100062924	R01AD08
CID100062924	R03BA05
CID100062959	J01MA13
CID100064147	J05AB14
CID100065014	L03AX16
CID100065281	D06AX05
CID100065281	J01XX10
CID100065281	R02AB04
CID100065628	L01AA09
CID100065856	N06AX18
CID100065863	D01AC14
CID100065866	C08CA13
CID100065999	C09CA07
CID100068613	G02CX01
CID100068740	M05BA08
CID100068844	S01EC04
CID100071158	N07BB03
CID100071273	N01BB09
CID100071301	C07AB12
CID100071316	M03AC10
CID100071329	C01BD04
CID100071348	H01CB03
CID100071362	C01EB19
CID100071406	A11HA08
CID100071616	J02AC03
CID100072054	G04BD10
CID100072081	H01BA04
CID100072111	A07AA11
CID100072111	D06AX11
CID100072466	L01DC01
CID100072938	J01MA15
CID100073303	J01DH04
CID100073658	J01FA15
CID100074989	P01AX06
CID100077992	N02CC07
CID100077993	N02CC06
CID100077996	H05BX02
CID100077998	A10BG02
CID100082146	L01XX25
CID100082148	N06AX22
CID100083030	L04AA02
CID100093860	L01XX32
CID100096312	L01BB07
CID100102258	M04AX01
CID100102258	V03AF07
CID100102399	B05AA05
CID100104741	L02BA03
CID100104758	L01BA03
CID100104799	L01AD05
CID100104849	A08AX01
CID100104865	C02KX01
CID100110634	G04BE09
CID100110635	G04BE08
CID100114709	N03AF04
CID100115237	N05AX13
CID100115355	A16AX04
CID100119182	L01BB06
CID100119607	M01AH03
CID100119828	M01AH04
CID100119830	J05AF07
CID100121396	A16AA05
CID100121749	L04AC05
CID100122197	V09AB03
CID100122316	N04BD02
CID100123015	B02BX04
CID100123597	S01EE04
CID100123606	N02CC05
CID100123610	B01AC16
CID100123611	B01AX05
CID100123619	M01AH05
CID100123620	D07AC13
CID100123620	D07XC03
CID100123620	R01AD09
CID100123620	R03BA07
CID100123623	J02AX04
CID100123631	L01XE02
CID100124087	R06AX27
CID100125017	N06AX23
CID100125889	N03AX16
CID100127909	S01EE03
CID100129228	N03AF03
CID100129806	C10AA07
CID100130881	C09CA08
CID100131535	J05AE07
CID100132804	C10AA08
CID100132999	C01EB17
CID100134018	M04AA03
CID100135113	A16AB06
CID100145068	R07AX01
CID100147912	J02AC04
CID100148121	L01BA05
CID100148191	L01XE09
CID100148192	J05AE08
CID100148211	A04AA05
CID100150310	C03DA04
CID100150311	C10AX09
CID100150610	J01DH03
CID100151075	S01BC10
CID100151165	A04AD12
CID100151171	C03XA02
CID100152945	G04CB02
CID100153941	J05AF10
CID100154058	G04BD08
CID100154256	G03XC02
CID100156326	N05AH05
CID100156418	H05BX01
CID100157688	L01CA05
CID100157920	A06AX03
CID100157921	L01XD03
CID100160051	C10AC04
CID100163296	J05AE09
CID100166548	J02AX06
CID100168625	V03AE01
CID100168924	V03AE03
CID100170361	N07BA03
CID100176870	L01XE03
CID100193962	J05AG04
CID100197281	V08CA08
CID100197712	C02KX02
CID100208902	N05CH02
CID100208908	L01XE07
CID100213023	B01AE07
CID100213039	J05AE10
CID100216209	C09XA02
CID100216235	C02KX03
CID100216237	C03XA01
CID100216239	L01XE05
CID100216326	L04AX04
CID100219024	C01EB21
CID100219078	N03AX18
CID100219084	V08CA10
CID100222786	H02AB10
CID100222786	S01BA03
CID100358641	J01EE01
CID100441332	G02AD04
CID100441382	A01AB10
CID100441382	A07AA03
CID100441382	D01AA02
CID100441382	G01AA02
CID100441382	S01AA10
CID100444006	J01DD16
CID100444013	V08CA06
CID100444033	R03BA08
CID100449193	R03DX07
CID100477468	J02AX05
CID100483407	J05AX09
CID100517045	B05XA08
CID100644241	L01XE08
CID100656628	G04CA04
CID100657298	H03BA02
CID100667490	L01BB02
CID101349907	H03BB02
CID102723601	L01BB03
CID102761171	J04AD03
CID103052762	A03AE04
CID103055172	D11AH02
CID103062316	L01XE06
CID103081362	J01XA03
CID103081884	L03AX13
CID103085017	V03AE02
CID103086257	L01XD01
CID103086686	L01XE04
CID103325225	H05AA03
CID104369359	A10BH01
CID104474778	B03XA01
CID104479094	H05BX03
CID104479097	B03BA03
CID104479097	V03AB33
CID104517618	V03AB08
CID104630253	D07AB10
CID104630253	S01BA10
CID104659568	N04BX02
CID104659569	N04BX01
CID105001396	B01AA03
CID105251896	A10BH02
CID105281007	L01AX04
CID105310993	C10AD06
CID105353894	V03AB04
CID105353980	A07EC01
CID105361912	J04AB04
CID105361917	A06AH01
CID105362070	A07EC04
CID105362420	S01LA01
CID105381226	J04AB02
CID105462337	A07EC03
CID105479141	L03AX15
CID105487301	A03AE02
CID105488383	L01XC10
CID105488547	A06AH02
CID105493381	V03AC03
CID106102852	V08CA09
CID106323497	J04AB05
CID106326970	D11AC03
CID106333887	M01CB03
CID106398970	J01DD15
CID106433091	N02AX06
CID106433101	S01EE05
CID106433117	R03AC18
CID106433119	B01AX06
CID106435110	P02CF01
CID106442177	L01XE10
CID106442177	L04AA18
CID106445540	L01DC04
CID106850789	B03AB02
CID106850789	B03AC02
CID106918182	M05BX03
CID106918456	B01AC22
CID106918462	D06AX13
CID106918558	G04BD11
CID106918584	V03AB35
CID109812414	B01AB04
CID109812414	B01AB06
CID109812414	B01AB07
CID109812414	B01AB08
CID109812414	B01AB10
CID109812414	B01AB12
CID109815559	B01AD01
CID109846180	B02BX05
CID109854489	R01AD12
CID110113978	L01XE11
CID111020241	A11GA01
CID111020241	B03AA10
CID111020241	G01AD03
CID111020241	S01XA15
CID111163584	A10BH04
CID111235728	A10BH03
CID111672461	V08CA11
CID111947681	C02DD01
CID111979316	H01BA01
CID116129616	H05BA01
CID116129616	H05BA02
CID116129616	H05BA03
CID116129617	H01AA02
CID116129629	J01XX09
CID116129632	J01XA05
CID116129665	V04CK01
CID116129672	A10AB01
CID116129672	A10AB02
CID116129672	A10AB03
CID116129672	A10AC01
CID116129672	A10AC02
CID116129672	A10AC03
CID116129672	A10AD01
CID116129672	A10AD02
CID116129672	A10AD03
CID116129672	A10AE01
CID116129672	A10AE02
CID116129672	A10AE03
CID116129672	A10AF01
CID116129682	H05AA02
CID116129690	N02BG08
CID116129703	B01AE01
CID116129704	B01AE06
CID116130199	J05AX07
CID116130295	B02AB01
CID116130957	H01CC01
CID116131215	L02BX01
CID116132265	H01AA01
CID116132283	H04AA01
CID116132344	V04CD04
CID116132418	A10AB05
CID116132418	A10AD05
CID116132438	A10AB04
CID116132438	A10AC04
CID116132438	A10AD04
CID116132441	B01AE02
CID116132446	A10BX05
CID116134956	A10BX07
CID116136245	L02BX02
CID116137271	A10AE05
CID116156130	A10BX04
CID116213095	B05AA07
CID122834577	C01DX19
CID123668479	J05AX08
CID123690938	M01AC01
CID123690938	M02AA07
CID123690938	S01BC06
CID125074470	L02AE04
CID125074886	H01CC02
CID125077405	H01CA02
CID125077993	H01CA03
CID125880656	A01AB22
CID125880656	J01AA02
CID125880664	A01AB13
CID125880664	D06AA04
CID125880664	J01AA07
CID125880664	S01AA09
CID125880664	S02AA08
CID125880664	S03AA02
CID126275995	A01AB23
CID126275995	J01AA08
CID140468184	B01AA07
CID144134877	D06AA03
CID144134877	G01AA07
CID144134877	J01AA06
CID144134877	S01AA04
CID144146714	A10AE04
CID144567678	J01XA04
CID151508717	M01AC02
CID151601240	D06AA01
CID151601240	J01AA01
CID153477714	B01AB01
CID153477714	C05BA03
CID153477714	S01XA14
CID154681041	J01AA12
CID154687131	J01AA04
CID156603655	S01LA03
CID170695640	C10AC01
CID171306834	L03AB05
